sticker_number,amount
1,2
2,1
3,2
4,3
5,1
6,2
7,1
9,1
10,1
11,2
12,1
13,1
14,2
15,1
16,1
17,1
18,2
19,1
21,2
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,2
30,1
31,1
32,2
33,2
34,2
35,1
36,1
37,2
38,2
39,1
40,1
41,1
42,1
43,2
44,1
45,1
46,1
47,2
48,1
50,2
51,1
52,1
53,1
56,1
58,1
59,1
60,1
61,3
62,1
63,1
64,1
66,3
68,1
69,2
70,1
71,2
72,1
73,1
74,2
75,1
76,2
77,1
78,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,2
90,1
92,1
96,1
97,1
98,1
99,2
101,1
103,1
104,1
105,1
106,2
107,1
108,1
110,2
111,2
112,1
113,1
114,1
116,2
117,1
119,2
121,2
122,2
123,2
124,1
126,1
127,1
129,1
131,1
132,1
134,1
135,1
136,1
137,2
138,2
139,2
140,1
141,1
143,1
144,1
145,1
146,2
147,1
148,2
149,1
150,1
151,1
152,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,2
162,1
163,2
164,2
166,1
168,1
169,1
170,2
173,2
174,1
175,1
176,1
178,1
179,1
180,2
182,1
183,1
184,1
185,2
186,1
187,1
188,1
189,1
190,2
191,1
192,1
193,1
195,2
196,2
197,1
198,1
200,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
210,1
212,1
213,3
214,1
215,1
216,1
217,2
219,1
220,1
222,2
224,1
225,1
226,2
227,1
228,3
229,1
230,1
231,2
232,1
233,1
236,2
238,1
239,1
240,2
241,2
242,2
243,1
244,1
245,1
246,1
248,1
249,1
250,1
251,3
252,1
254,1
256,2
257,1
258,1
260,1
261,2
262,1
263,1
264,1
265,1
266,2
267,2
268,1
270,2
271,2
272,1
273,1
274,2
275,1
276,2
277,1
278,1
279,1
280,2
281,2
283,1
284,1
285,2
286,1
287,1
289,1
291,1
292,2
293,2
294,1
295,2
296,1
297,1
298,2
299,2
300,1
301,1
302,1
303,1
304,3
305,2
306,1
307,1
308,1
309,1
310,2
311,2
312,1
313,1
314,1
315,1
316,1
317,2
318,1
320,2
321,1
322,1
323,1
324,2
325,1
326,1
327,1
328,1
330,1
331,1
333,1
334,3
335,2
336,1
337,1
338,1
340,1
341,1
342,1
343,1
344,1
345,1
346,2
347,1
348,1
350,2
351,1
352,2
353,1
354,2
355,2
357,1
359,1
360,1
361,2
362,1
363,1
364,1
365,1
366,1
368,2
369,1
370,1
371,1
372,2
374,1
375,1
376,1
377,1
378,1
379,1
380,2
381,1
382,1
383,1
384,1
385,1
386,1
389,1
390,1
391,1
392,2
393,2
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,2
403,1
404,1
406,1
407,1
408,2
409,1
410,1
411,1
412,1
413,1
414,1
415,2
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,2
425,1
426,2
427,2
428,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
439,1
440,1
441,2
444,1
445,1
446,2
447,2
449,1
450,2
452,1
453,3
455,1
456,1
458,1
459,3
460,3
464,1
466,1
467,1
468,1
469,1
470,1
471,1
473,2
475,1
476,2
478,2
479,1
480,1
484,1
485,1
486,1
487,1
488,1
489,1
491,1
492,1
493,1
494,1
495,1
496,1
499,1
500,1
502,2
503,2
505,1
506,1
507,1
508,1
509,1
511,2
512,1
513,1
514,1
515,2
516,2
517,2
521,2
523,1
524,1
525,1
526,2
527,1
528,2
529,1
530,1
531,1
536,2
537,1
538,1
539,1
541,2
542,3
543,2
549,2
550,1
552,2
553,1
554,3
555,1
558,1
559,1
561,2
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,2
572,2
573,1
574,2
575,2
577,1
578,1
579,2
581,1
583,2
584,1
585,1
586,2
587,2
589,2
591,1
592,1
593,2
595,1
596,2
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,2
606,2
608,1
609,1
610,2
611,1
612,1
613,1
614,2
615,1
616,2
617,1
618,1
620,1
621,1
623,1
625,1
626,2
627,1
628,1
629,2
630,1
631,1
632,2
633,1
634,1
635,2
636,1
637,2
639,1
640,1
642,2
643,1
644,1
645,2
648,2
649,1
650,3
651,2
652,1
653,1
654,1
655,1
656,2
657,1
658,2
659,2
662,1
665,2
667,1
668,2
670,1
671,1
673,1
674,1
675,1
678,1
679,1
681,2
684,2
685,1
686,1
687,1
688,1
689,1
690,1
691,2
693,2
695,2
696,1
697,1
698,1
699,1
700,1
702,1
703,1
704,2
705,2
706,2
707,1
709,1
710,2
712,1
713,3
714,1
716,3
717,1
718,1
719,1
720,2
